time,count
0,584
1,907
2,1074
3,1366
4,1581
5,2869
6,3137
7,3264
8,3166
9,2997
10,3184
11,3055
12,2875
13,2825
14,2706
15,2836
16,2788
17,2755
18,2663
19,2635
20,2755
21,2573
22,2579
23,2586
24,2456
25,2492
26,2458
27,2419
28,2376
29,2333
30,2477
31,2318
32,2264
33,2236
34,2130
35,2213
36,2203
37,2040
38,2047
39,2056
40,2108
41,2049
42,2021
43,1986
44,1954
45,2019
46,1969
47,1884
48,1926
49,1829
50,1901
51,1829
52,1855
53,1721
54,1750
55,1724
56,1761
57,1668
58,1687
59,1652
100,1727
101,1631
102,1684
103,1628
104,1638
105,1799
106,1720
107,1573
108,1709
109,1596
110,1841
111,1615
112,1659
113,1546
114,1645
115,1565
116,1566
117,1529
118,1609
119,1465
120,1672
121,1503
122,1487
123,1522
124,1443
125,1510
126,1524
127,1458
128,1387
129,1351
130,1552
131,1408
132,1466
133,1356
134,1413
135,1432
136,1406
137,1323
138,1358
139,1362
140,1416
141,1306
142,1328
143,1307
144,1295
145,1358
146,1335
147,1298
148,1266
149,1282
150,1396
151,1228
152,1231
153,1193
154,1224
155,1205
156,1242
157,1164
158,1161
159,1058
200,1348
201,1326
202,1360
203,1412
204,1509
205,2145
206,2141
207,2110
208,1980
209,1947
210,2067
211,1874
212,1794
213,1723
214,1811
215,1944
216,1757
217,1790
218,1754
219,1827
220,1748
221,1784
222,1729
223,1664
224,1681
225,1762
226,1674
227,1652
228,1634
229,1523
230,1736
231,1538
232,1615
233,1531
234,1519
235,1727
236,1567
237,1560
238,1612
239,1590
240,1685
241,1644
242,1635
243,1524
244,1573
245,1637
246,1544
247,1545
248,1588
249,1462
250,1666
251,1453
252,1438
253,1496
254,1469
255,1624
256,1440
257,1441
258,1475
259,1416
300,1664
301,1395
302,1500
303,1510
304,1537
305,1676
306,1673
307,1683
308,1705
309,1608
310,1858
311,1680
312,1623
313,1599
314,1644
315,1807
316,1682
317,1727
318,1693
319,1645
320,1886
321,1654
322,1641
323,1681
324,1651
325,1729
326,1764
327,1631
328,1691
329,1656
330,1868
331,1667
332,1662
333,1630
334,1640
335,1727
336,1622
337,1690
338,1615
339,1565
340,1788
341,1640
342,1636
343,1620
344,1577
345,1643
346,1654
347,1548
348,1523
349,1532
350,1634
351,1495
352,1551
353,1561
354,1577
355,1542
356,1515
357,1475
358,1533
359,1426
400,1663
401,1523
402,1561
403,1430
404,1455
405,1501
406,1477
407,1382
408,1409
409,1391
410,1517
411,1443
412,1424
413,1353
414,1368
415,1457
416,1328
417,1362
418,1365
419,1330
420,1437
421,1395
422,1265
423,1246
424,1256
425,1373
426,1217
427,1198
428,1193
429,1160
430,1363
431,1133
432,1165
433,1136
434,1074
435,1108
436,1084
437,1044
438,1002
439,922
440,1054
441,919
442,918
443,928
444,860
445,976
446,851
447,781
448,790
449,796
450,933
451,692
452,713
453,680
454,686
455,717
456,624
457,644
458,585
459,604
500,625
501,582
502,542
503,515
504,479
505,570
506,524
507,435
508,445
509,403
510,482
511,391
512,363
513,336
514,324
515,409
516,317
517,318
518,321
519,298
520,354
521,300
522,303
523,283
524,266
525,309
526,259
527,250
528,264
529,230
530,374
531,238
532,254
533,215
534,225
535,261
536,235
537,215
538,205
539,176
540,235
541,147
542,161
543,147
544,140
545,165
546,149
547,145
548,138
549,131
550,184
551,130
552,105
553,122
554,109
555,139
556,134
557,103
558,97
559,95
600,178
601,100
602,111
603,91
604,86
605,161
606,99
607,96
608,99
609,96
610,153
611,95
612,104
613,97
614,101
615,183
616,95
617,95
618,123
619,117
620,169
621,106
622,140
623,132
624,145
625,177
626,145
627,157
628,190
629,216
630,331
631,278
632,291
633,330
634,408
635,429
636,477
637,508
638,514
639,576
640,659
641,668
642,697
643,778
644,779
645,891
646,862
647,874
648,933
649,925
650,944
651,919
652,920
653,979
654,1056
655,895
656,803
657,655
658,613
659,558
700,587
701,575
702,551
703,595
704,640
705,1898
706,1275
707,1214
708,1182
709,1094
710,1173
711,1004
712,1036
713,940
714,975
715,1041
716,931
717,903
718,959
719,894
720,936
721,893
722,909
723,859
724,821
725,892
726,832
727,874
728,836
729,825
730,927
731,824
732,840
733,789
734,879
735,1348
736,1106
737,984
738,986
739,976
740,1040
741,912
742,991
743,941
744,929
745,1019
746,907
747,936
748,867
749,908
750,993
751,821
752,898
753,938
754,801
755,907
756,863
757,838
758,800
759,784
800,1001
801,936
802,1026
803,1027
804,1126
805,2566
806,2338
807,2244
808,2183
809,2037
810,2136
811,1917
812,2024
813,1843
814,1895
815,1993
816,1808
817,1804
818,1734
819,1796
820,1891
821,1671
822,1726
823,1641
824,1674
825,1768
826,1685
827,1669
828,1621
829,1593
830,1789
831,1652
832,1637
833,1637
834,1609
835,1839
836,1718
837,1811
838,1705
839,1670
840,1912
841,1743
842,1709
843,1709
844,1734
845,1867
846,1798
847,1813
848,1877
849,1855
850,1967
851,1898
852,1825
853,1910
854,1890
855,1993
856,1886
857,1950
858,1937
859,1932
900,2258
901,2170
902,2334
903,2237
904,2396
905,2751
906,2729
907,2703
908,2809
909,2799
910,2896
911,2855
912,2795
913,2789
914,2838
915,3019
916,2829
917,2960
918,2800
919,2906
920,3122
921,2815
922,2852
923,2881
924,2836
925,3025
926,2862
927,2872
928,2978
929,2936
930,3272
931,3035
932,3049
933,3115
934,3123
935,3404
936,3362
937,3240
938,3325
939,3232
940,3576
941,3337
942,3422
943,3382
944,3437
945,3652
946,3568
947,3513
948,3535
949,3505
950,3749
951,3472
952,3566
953,3491
954,3267
955,3314
956,2796
957,2593
958,2543
959,2371
1000,2614
1001,2502
1002,2526
1003,2408
1004,2543
1005,2680
1006,2568
1007,2677
1008,2574
1009,2499
1010,2775
1011,2691
1012,2590
1013,2573
1014,2704
1015,2741
1016,2594
1017,2630
1018,2610
1019,2488
1020,2716
1021,2581
1022,2509
1023,2567
1024,2595
1025,2771
1026,2575
1027,2546
1028,2581
1029,2402
1030,2758
1031,2585
1032,2599
1033,2534
1034,2601
1035,2605
1036,2673
1037,2622
1038,2592
1039,2452
1040,2794
1041,2624
1042,2564
1043,2610
1044,2591
1045,2801
1046,2694
1047,2668
1048,2495
